PRICE,BEDS,PROPERTYSQFT,SUBLOCALITY_ENCODED,TYPE_ENCODED
799999,3,1200.0,8.0,0.0
300000,3,,3.0,4.0
750000,4,3098.0,2.0,8.0
669999,4,1196.0,2.0,1.0
575000,2,1200.0,2.0,6.0
299000,3,,6.0,3.0
548800,3,1440.0,2.0,1.0
28500000,7,12300.0,1.0,2.0
259000,2,,8.0,3.0
425000,2,,8.0,3.0
950000,4,2200.0,3.0,1.0
185000,2,600.0,4.0,3.0
1688888,4,2364.0,10.0,1.0
259000,2,,8.0,3.0
950000,4,2200.0,3.0,1.0
1688888,4,2364.0,10.0,1.0
689000,6,,11.0,4.0
419000,2,,8.0,3.0
1199000,4,,3.0,1.0
2150000,4,,3.0,1.0
899000,3,2208.0,2.0,1.0
675000,3,,10.0,1.0
875000,2,,4.0,3.0
899000,2,1130.0,4.0,1.0
219000,2,,8.0,3.0
120000,2,600.0,7.0,3.0
470000,2,,4.0,0.0
229000,2,950.0,7.0,3.0
3000000,3,11760.0,3.0,4.0
1199000,5,,10.0,9.0
1498000,9,2961.0,3.0,4.0
2000000,4,2000.0,4.0,0.0
50000000,6,6569.0,4.0,0.0
550000,3,,10.0,1.0
499000,3,1176.0,2.0,9.0
800000,6,2202.0,11.0,4.0
239000,2,798.0,8.0,3.0
29950000,10,8750.0,1.0,2.0
674999,3,1440.0,2.0,1.0
14000000,5,7200.0,3.0,2.0
1228000,3,950.0,10.0,1.0
880000,4,2400.0,10.0,0.0
369888,2,,8.0,3.0
500000,2,,4.0,3.0
499000,4,,10.0,4.0
2998888,5,3800.0,10.0,1.0
175849,2,850.0,7.0,3.0
499000,3,1445.0,4.0,4.0
899975,6,1952.0,11.0,4.0
1474000,4,2050.0,10.0,1.0
2750000,6,6300.0,2.0,1.0
3999000,3,3428.0,3.0,1.0
1288000,4,1700.0,10.0,1.0
499000,4,1428.0,3.0,8.0
989000,4,2400.0,2.0,1.0
650000,3,,2.0,1.0
1999999,4,4803.0,2.0,6.0
5990000,4,3750.0,1.0,2.0
1235000,3,,7.0,3.0
785000,1,,4.0,3.0
750000,3,1750.0,4.0,3.0
1400000,3,,10.0,4.0
865000,6,2464.0,11.0,4.0
324000,1,,10.0,3.0
1100000,3,3750.0,2.0,1.0
2295000,3,,3.0,4.0
8950000,4,2570.0,3.0,1.0
1348888,3,2450.0,2.0,4.0
220000,2,850.0,7.0,3.0
185000,1,,6.0,3.0
499000,2,1350.0,11.0,1.0
999999,4,1980.0,3.0,4.0
4995000,2,2000.0,1.0,2.0
700000,2,,1.0,9.0
1180000,4,1820.0,10.0,1.0
609000,2,,8.0,0.0
250000,2,950.0,6.0,3.0
689000,3,,10.0,1.0
585000,4,,10.0,4.0
109500,3,550.0,9.0,0.0
299000,3,640.0,4.0,3.0
995000,3,1987.0,2.0,1.0
1499000,6,3144.0,3.0,4.0
299000,2,,8.0,3.0
279000,3,550.0,4.0,3.0
235000,3,,10.0,1.0
17900000,6,,4.0,3.0
950000,5,2288.0,3.0,2.0
859000,2,950.0,10.0,1.0
1999000,5,2000.0,10.0,1.0
1458888,8,2988.0,10.0,4.0
650000,5,,3.0,1.0
1100000,4,1400.0,3.0,1.0
478900,1,554.0,8.0,0.0
2795000,2,965.0,4.0,0.0
560000,5,2624.0,2.0,4.0
868000,3,2024.0,2.0,4.0
999000,3,,10.0,1.0
1590000,5,,4.0,4.0
149000,1,375.0,4.0,3.0
594900,4,1355.0,10.0,1.0
799000,3,,3.0,1.0
985000,6,,10.0,4.0
685000,4,2625.0,10.0,1.0
479888,3,1188.0,2.0,6.0
2500000,3,,3.0,9.0
355000,1,514.0,6.0,0.0
260000,2,,4.0,3.0
2600000,5,4057.0,3.0,2.0
2500000,3,,3.0,9.0
220000,1,,8.0,3.0
489000,2,1549.0,8.0,3.0
1288000,5,2375.0,3.0,4.0
200000,2,1260.0,1.0,0.0
625000,3,,10.0,1.0
2245000,2,1724.0,4.0,0.0
899000,3,,10.0,1.0
575000,4,1330.0,3.0,2.0
588888,4,1640.0,2.0,1.0
650000,6,,11.0,4.0
899999,8,,3.0,4.0
315000,1,850.0,8.0,3.0
1599999,6,4073.0,11.0,4.0
10000000,5,5660.0,1.0,2.0
825000,4,2230.0,2.0,1.0
795000,3,1860.0,2.0,6.0
690000,3,1325.0,3.0,1.0
1249949,4,2720.0,2.0,1.0
799000,4,,3.0,1.0
115000,3,,8.0,3.0
2088000,4,2394.0,10.0,1.0
699000,2,1766.0,8.0,0.0
119000,1,650.0,7.0,3.0
1275000,5,,10.0,4.0
410000,2,,8.0,0.0
309900,2,900.0,7.0,3.0
435000,3,1034.0,11.0,0.0
879000,3,,10.0,1.0
325000,3,622.0,4.0,3.0
1195000,16,,3.0,4.0
1900000,3,2200.0,4.0,3.0
868000,3,,10.0,1.0
1770000,7,,10.0,4.0
899000,5,1480.0,10.0,4.0
990000,2,960.0,6.0,9.0
818000,3,,10.0,1.0
409000,4,,10.0,1.0
679000,3,1474.0,6.0,9.0
259000,1,,8.0,3.0
850000,6,2280.0,6.0,1.0
8750000,6,6000.0,3.0,2.0
495000,2,953.0,2.0,1.0
825000,2,800.0,6.0,3.0
1075000,4,1800.0,8.0,3.0
1950000,5,4000.0,7.0,1.0
6800000,7,5130.0,4.0,1.0
7999000,20,,1.0,4.0
578000,2,900.0,8.0,0.0
8995000,5,4373.0,4.0,0.0
629000,3,1360.0,6.0,0.0
329900,2,993.0,8.0,0.0
1788888,4,,10.0,1.0
899000,5,2184.0,2.0,1.0
2150000,3,750.0,4.0,0.0
1290000,3,2905.0,11.0,1.0
109000,1,,7.0,3.0
545000,6,1344.0,2.0,1.0
307000,2,960.0,7.0,3.0
595000,1,750.0,4.0,0.0
1088888,5,2452.0,2.0,1.0
650000,3,1912.0,11.0,2.0
4380000,35,15000.0,3.0,4.0
949999,5,1740.0,10.0,4.0
879000,4,1998.0,11.0,4.0
850000,6,2886.0,10.0,1.0
675000,2,1200.0,6.0,3.0
199000,2,900.0,2.0,1.0
395000,3,430.0,4.0,1.0
368000,2,,8.0,3.0
999999,5,2754.0,2.0,4.0
374900,1,782.0,7.0,0.0
365000,2,,8.0,3.0
25500000,5,,1.0,2.0
999000,7,3036.0,11.0,4.0
825000,3,,10.0,1.0
889000,3,,11.0,1.0
225000,2,789.0,9.0,3.0
799500,2,2250.0,2.0,1.0
779000,2,,3.0,1.0
1880000,7,3240.0,3.0,4.0
